Date,Open,High,Low,Close,Volume,High_Vol_Flag,Daily_Return,SMA_20,SMA_50,Volatility_20d,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,Daily_Return_Pct,Normalised_Price,Drawdown,Drawdown_Pct,Ticker
2010-06-28,17.0,17.0,17.0,17.0,0.0,False,,,,,,0.0,0.0,0.0,,,,100.0,0.0,0.0,TSLA
2010-06-29,19.0,25.0,17.54,23.89,18783276.0,True,0.4052941176470588,,,,,0.5496296296296315,0.1099259259259263,0.43970370370370515,,,40.529411764705884,140.52941176470588,0.0,0.0,TSLA
2010-06-30,25.79,30.42,23.3,23.83,17194394.0,True,-0.002511511092507468,,,,,0.969201224016043,0.28178098554394965,0.6874202384720933,,,-0.2511511092507468,140.17647058823528,-0.0025115110925074203,-0.251151109250742,TSLA
2010-07-01,25.0,25.92,20.27,21.96,8229863.0,False,-0.07847251363827101,,,,,1.1377065902844166,0.45296610649204305,0.6847404837923735,,,-7.847251363827102,129.1764705882353,-0.08078694014231895,-8.078694014231894,TSLA
2010-07-02,23.0,23.1,18.71,19.2,5141807.0,False,-0.12568306010928965,,,,,1.0365902067022645,0.5696909265340874,0.46689928016817717,,,-12.568306010928964,112.94117647058823,-0.19631645039765597,-19.631645039765598,TSLA
2010-07-05,23.0,23.1,18.71,19.2,5141807.0,False,0.0,,,,,0.9455549750444305,0.644863736236156,0.30069123880827453,,,0.0,112.94117647058823,-0.19631645039765597,-19.631645039765598,TSLA
2010-07-06,20.0,20.0,15.83,16.11,6879296.0,False,-0.16093749999999996,,,,,0.6169597938305174,0.6392829477550284,-0.022323153924511008,,,-16.093749999999996,94.76470588235294,-0.3256592716617832,-32.56592716617832,TSLA
2010-07-07,16.4,16.63,14.98,15.8,6924914.0,False,-0.019242706393544307,,,,,0.3277532012118627,0.5769769984463953,-0.24922379723453258,,,-1.9242706393544307,92.94117647058823,-0.3386354123064043,-33.86354123064043,TSLA
2010-07-08,16.14,17.52,15.57,17.46,7719539.0,False,0.1050632911392404,,,,,0.22985341267916226,0.5075522812929487,-0.27769886861378645,,,10.50632911392404,102.70588235294117,-0.26915027208036835,-26.915027208036836,TSLA
2010-07-09,17.58,17.9,16.55,17.4,4058606.0,False,-0.003436426116838587,,,,,0.14574556225976565,0.4351909374863121,-0.28944537522654645,,,-0.3436426116838587,102.35294117647058,-0.27166178317287576,-27.166178317287574,TSLA
2010-07-12,17.95,18.07,17.0,17.05,2203570.0,False,-0.02011494252873547,,,,,0.050267952247306624,0.358206340438511,-0.3079383881912044,,,-2.011494252873547,100.29411764705883,-0.2863122645458351,-28.63122645458351,TSLA
2010-07-13,17.39,18.64,16.9,18.14,2680060.0,False,0.06392961876832848,,,,,0.06184226973330098,0.298933526297469,-0.23709125656416802,,,6.392961876832848,106.70588235294119,-0.24068647969861867,-24.068647969861868,TSLA
2010-07-14,17.94,20.15,17.76,19.84,4196110.0,False,0.093715545755237,,,,,0.20581824759573664,0.28031047055712255,-0.07449222296138591,,,9.3715545755237,116.70588235294117,-0.16952699874424448,-16.952699874424447,TSLA
2010-07-15,19.94,21.5,19.0,19.89,3745297.0,False,0.002520161290322509,,,,,0.32026303654669874,0.2883009837550378,0.03196205279166092,,,0.2520161290322509,117.0,-0.16743407283382167,-16.743407283382165,TSLA
2010-07-16,20.7,21.3,20.05,20.64,2621210.0,False,0.03770739064856721,,,,61.02086097787768,0.4661070958496225,0.3238622061739548,0.14224488967566773,,,3.7707390648567207,121.41176470588235,-0.13604018417748012,-13.604018417748012,TSLA
2010-07-19,21.37,22.25,20.92,21.91,2486489.0,False,0.06153100775193798,,,,65.26616440997242,0.6763711640117478,0.39436399774151343,0.28200716627023437,,,6.153100775193798,128.88235294117646,-0.08287986605274175,-8.287986605274176,TSLA
2010-07-20,21.85,21.85,20.05,20.3,1825231.0,False,-0.07348242811501593,,,,56.81788283751805,0.7049669876258129,0.4564845957183733,0.2484823919074396,,,-7.348242811501593,119.41176470588235,-0.15027208036835496,-15.027208036835496,TSLA
2010-07-21,20.66,20.9,19.5,20.22,1253442.0,False,-0.003940886699507429,,,,56.42702731277657,0.7129555447294216,0.507778785520583,0.2051767592088386,,,-0.3940886699507429,118.94117647058823,-0.15362076182503145,-15.362076182503145,TSLA
2010-07-22,20.5,21.25,20.37,21.0,962345.0,False,0.03857566765578646,,,,59.36230739829492,0.773311758474641,0.5608853801113947,0.2124263783632463,,,3.857566765578646,123.52941176470588,-0.12097111762243619,-12.09711176224362,TSLA
2010-07-23,21.19,21.56,21.06,21.29,654049.0,False,0.013809523809523716,19.6065,,,60.429617656048805,0.8349206238479709,0.61569242885871,0.21922819498926094,24.32754928122864,14.885450718771358,1.3809523809523716,125.23529411764704,-0.10883214734198415,-10.883214734198415,TSLA
2010-07-26,21.5,21.5,20.3,20.95,922453.0,False,-0.015969938938468764,19.804,,1.8001081886072519,58.49003139336562,0.846552405848751,0.6618644242567182,0.1846879815920328,24.39461926793738,15.21338073206262,-1.5969938938468764,123.23529411764707,-0.12306404353285899,-12.306404353285899,TSLA
2010-07-27,20.91,21.18,20.26,20.55,619675.0,False,-0.019093078758949833,19.637,,1.061286499194567,56.20445494995973,0.8141094725918272,0.6923134339237401,0.12179603866808708,23.827310125440412,15.446689874559588,-1.9093078758949833,120.88235294117649,-0.1398074508162411,-13.98074508162411,TSLA
2010-07-28,20.55,20.9,20.51,20.72,467183.0,False,0.008272506082724895,19.4815,,1.0623523405435886,56.9739729032766,0.7929748727740993,0.7124457216938119,0.08052915108028735,23.223490885808474,15.739509114191526,0.8272506082724895,121.88235294117646,-0.13269150272080374,-13.269150272080374,TSLA
2010-07-29,20.77,20.88,20.0,20.35,615910.0,False,-0.017857142857142683,19.401,,1.0277981784735146,54.72038027248385,0.7378640054209065,0.7175293784392309,0.02033462698167554,22.984399738266795,15.817600261733205,-1.7857142857142683,119.70588235294119,-0.14817915445793214,-14.817915445793215,TSLA
2010-07-30,20.2,20.44,19.55,19.94,426830.0,False,-0.020147420147420103,19.438,,0.9217953153436855,52.253863182248814,0.6535707161222959,0.704737645975844,-0.05116692985354809,23.027936812227964,15.848063187772034,-2.0147420147420103,117.29411764705884,-0.16534114692339888,-16.534114692339887,TSLA
2010-08-02,20.5,20.97,20.33,20.92,719145.0,False,0.04914744232698087,19.524,,0.9356921365396421,57.21778763975679,0.6582575040949266,0.6954416175996606,-0.03718411350473405,23.171871188861573,15.876128811138429,4.914744232698087,123.05882352941178,-0.12431979907911254,-12.431979907911254,TSLA
2010-08-03,21.0,21.95,20.82,21.95,1231023.0,False,0.04923518164435925,19.816,,0.7080859548338759,61.72212191370884,0.7365932211208346,0.7036719383038955,0.03292128281693907,23.24138142324864,16.390618576751358,4.923518164435925,129.1176470588235,-0.08120552532440357,-8.120552532440357,TSLA
2010-08-04,21.95,22.18,20.85,21.26,920756.0,False,-0.03143507972665138,20.089,,0.7175111264287735,57.36489548023016,0.7345303986069922,0.7098436303645149,0.024686768242477286,22.99812104649462,17.179878953505376,-3.1435079726651383,125.05882352941178,-0.11008790288823771,-11.008790288823771,TSLA
2010-08-05,21.54,21.55,20.05,20.45,796380.0,False,-0.038099717779868425,20.238500000000002,,0.6591416339715082,52.66476371625383,0.6599281257131615,0.6998605294342443,-0.039932403721082754,22.8731219143511,17.603878085648905,-3.8099717779868425,120.29411764705881,-0.1439933026370867,-14.39933026370867,TSLA
2010-08-06,20.1,20.16,19.52,19.59,742138.0,False,-0.04205378973105134,20.348,,0.6824476225664085,48.15357991627316,0.5253545144634302,0.6649593264400815,-0.1396048119766513,22.646490122255337,18.04950987774466,-4.205378973105134,115.23529411764706,-0.17999162829635834,-17.999162829635836,TSLA
2010-08-09,19.9,19.98,19.45,19.6,812656.0,False,0.0005104645227158588,20.475500000000004,,0.6755460495699379,48.20913320751212,0.4147301237183285,0.6149134858957309,-0.2001833621774024,22.219789630706323,18.731210369293684,0.051046452271585885,115.29411764705884,-0.17957304311427372,-17.95730431142737,TSLA
2010-08-10,19.65,19.65,18.82,19.03,1281286.0,False,-0.029081632653061185,20.52,,0.6534436572698995,45.233941271817834,0.27786223782152675,0.54750323628089,-0.2696409984593633,22.045047022571023,18.994952977428976,-2.9081632653061185,111.94117647058823,-0.2034323984930933,-20.34323984930933,TSLA
2010-08-11,18.69,18.88,17.85,17.9,797650.0,False,-0.05937992643194967,20.423000000000002,,0.5955615943113772,39.967889200935474,0.07732059231467403,0.4534667074876469,-0.37614611517297286,22.329289865847187,18.516710134152817,-5.937992643194967,105.29411764705881,-0.25073252406864804,-25.073252406864803,TSLA
2010-08-12,17.8,17.9,17.39,17.6,691281.0,False,-0.016759776536312665,20.308500000000002,,0.5964952554155737,38.6804126943235,-0.10461170080111515,0.3418510258298945,-0.44646272663100967,22.58812393020384,18.028876069796166,-1.6759776536312665,103.5294117647059,-0.26329007953118455,-26.329007953118456,TSLA
2010-08-13,18.18,18.45,17.66,18.32,634513.0,False,0.040909090909090784,20.1925,,0.5996657440207988,43.39334816358692,-0.18852319311917398,0.2357761820400808,-0.42429937515925475,22.631627324528843,17.753372675471155,4.090909090909078,107.76470588235294,-0.2331519464210967,-23.31519464210967,TSLA
2010-08-16,18.45,18.8,18.26,18.78,486211.0,False,0.025109170305676942,20.036,,0.5583716973525144,46.23643638448619,-0.21542224615333083,0.14553649640139849,-0.3609587425547293,22.411970937266894,17.66002906273311,2.510917030567694,110.47058823529412,-0.21389702804520716,-21.389702804520716,TSLA
2010-08-17,18.96,19.4,18.78,19.15,447881.0,False,0.01970181043663466,19.9785,,0.5070197551739768,48.47796581406081,-0.20452637891623837,0.07552392133787111,-0.2800503002541095,22.38305948476837,17.57394051523163,1.970181043663466,112.6470588235294,-0.19840937630807878,-19.84093763080788,TSLA
2010-08-18,19.59,19.59,18.6,18.77,601332.0,False,-0.01984334203655347,19.906,,0.5107777122648793,46.34104336541533,-0.22397233616448275,0.015624669837400337,-0.2395970060018831,22.366683687621464,17.445316312378534,-1.9843342036553469,110.41176470588235,-0.21431561322729178,-21.431561322729177,TSLA
2010-08-19,18.54,19.25,18.33,18.79,579082.0,False,0.0010655301012252316,19.7955,,0.48686012971368625,46.47477493990438,-0.23505993986422524,-0.03451225210292478,-0.20054768776130047,22.24780267729183,17.34319732270817,0.10655301012252316,110.52941176470587,-0.2134784428631227,-21.34784428631227,TSLA
2010-08-20,18.65,19.11,18.51,19.1,297499.0,False,0.016498137307078276,19.686,,0.4883362910337021,48.61256501195389,-0.21633871837696717,-0.07087754535773326,-0.1454611730192339,22.05135876882624,17.32064123117376,1.6498137307078276,112.3529411764706,-0.20050230221850143,-20.050230221850143,TSLA
2010-08-23,19.09,20.39,19.0,20.13,1088029.0,False,0.05392670157068058,19.645000000000003,,0.5287941370595904,55.03812758226174,-0.11704045403934771,-0.08011012709405615,-0.03693032694529155,21.945649793793976,17.34435020620603,5.392670157068058,118.41176470588235,-0.15738802846379243,-15.738802846379244,TSLA
2010-08-24,19.25,19.71,18.95,19.2,673074.0,False,-0.046199701937406856,19.5775,,0.5491392452590067,49.071683418473064,-0.11209690842965614,-0.08650748336117615,-0.025589425068479985,21.845333420040514,17.309666579959487,-4.619970193740686,112.94117647058823,-0.19631645039765597,-19.631645039765598,TSLA
2010-08-25,19.16,19.98,18.56,19.9,503289.0,False,0.03645833333333326,19.536499999999997,,0.5655620243586977,53.1853882857587,-0.05110584667357543,-0.07942715602365602,0.028321309350080592,21.746270409603202,17.32672959039679,3.645833333333326,117.05882352941175,-0.1670154876517372,-16.701548765173722,TSLA
